trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
26,3,2227,1802,557,15,0.5906642728904847,0.4246575342465753,0.1428571428571428,0.2137931034482758,0.5248032918229143,0.5983193277310924,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73
26,4,2227,1828,557,8,0.6175942549371634,0.5555555555555556,0.0921658986175115,0.1581027667984189,0.5209996447709465,0.5446733532122526,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73
26,5,2228,1818,556,17,0.6097122302158273,0.5,0.0552995391705069,0.0995850622406639,0.4966760150387819,0.5692807525522341,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73
27,1,2227,1826,557,24,0.6588868940754039,0.5693069306930693,0.5275229357798165,0.5476190476190477,0.6563216411311652,0.6901166409569431,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73
27,2,2227,1826,557,3,0.6014362657091562,0.488479262672811,0.488479262672811,0.488479262672811,0.6014362657091562,0.5934535104364327,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73
27,3,2227,1802,557,15,0.5888689407540395,0.4724770642201835,0.4746543778801843,0.4735632183908046,0.5890387577236467,0.6038492816481431,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73
27,4,2227,1828,557,8,0.5547576301615799,0.4351464435146444,0.4792626728110599,0.4561403508771929,0.5580548644233678,0.5517348875033885,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73
27,5,2228,1818,556,17,0.5485611510791367,0.419811320754717,0.4101382488479262,0.4149184149184149,0.5475828001555589,0.5645501135081494,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73
28,1,2227,1826,557,24,0.6409335727109515,0.5375,0.591743119266055,0.5633187772925764,0.6435365079231531,0.6772753105463992,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73
28,2,2227,1826,557,3,0.578096947935368,0.4594594594594595,0.4700460829493088,0.4646924829157175,0.5789369810095877,0.5925318514502574,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73
28,3,2227,1802,557,15,0.5583482944344704,0.4343891402714932,0.4423963133640553,0.4383561643835616,0.5590583070383219,0.5848061805367307,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73
28,4,2227,1828,557,8,0.5385996409335727,0.4186991869918699,0.4746543778801843,0.4449244060475162,0.542772577664288,0.5312686364868529,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73
28,5,2228,1818,556,17,0.5557553956834532,0.4358974358974359,0.4700460829493088,0.4523281596452328,0.5584154002411684,0.5650394899609859,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73
